age,education,sex,relationship,marital-status,income
61.0,7th-8th,Male,Husband,Married-civ-spouse,<=50K
48.0,HS-grad,Female,Unmarried,Divorced,<=50K
36.0,Some-college,Female,Not-in-family,Divorced,<=50K
31.0,Assoc-acdm,Female,Not-in-family,Widowed,<=50K
25.0,Assoc-acdm,Male,Husband,Married-civ-spouse,>50K
34.0,Masters,Male,Husband,Married-civ-spouse,<=50K
37.0,1st-4th,Male,Husband,Married-civ-spouse,<=50K
50.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
42.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
37.0,Prof-school,Female,Not-in-family,Separated,>50K
18.0,Some-college,Female,Own-child,Never-married,<=50K
32.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
25.0,Some-college,Female,Not-in-family,Never-married,<=50K
24.0,Assoc-voc,Female,Not-in-family,Never-married,<=50K
35.0,1st-4th,Male,Husband,Married-civ-spouse,<=50K
44.0,Masters,Female,Not-in-family,Divorced,<=50K
54.0,12th,Female,Unmarried,Widowed,<=50K
39.0,Doctorate,Male,Other-relative,Never-married,>50K
47.0,11th,Male,Own-child,Never-married,<=50K
29.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
30.0,Assoc-voc,Male,Husband,Married-civ-spouse,<=50K
55.0,Some-college,Male,Husband,Married-civ-spouse,>50K
44.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
58.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
35.0,HS-grad,Female,Not-in-family,Never-married,<=50K
24.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
32.0,Assoc-voc,Male,Own-child,Never-married,>50K
45.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
18.0,11th,Female,Other-relative,Never-married,<=50K
50.0,HS-grad,Female,Wife,Married-civ-spouse,>50K
18.0,HS-grad,Female,Unmarried,Never-married,<=50K
34.0,11th,Male,Husband,Married-civ-spouse,<=50K
27.0,Bachelors,Female,Own-child,Never-married,<=50K
52.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
49.0,Assoc-voc,Male,Husband,Married-civ-spouse,<=50K
23.0,Bachelors,Female,Not-in-family,Never-married,<=50K
39.0,Some-college,Male,Husband,Married-civ-spouse,>50K
35.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
23.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
40.0,Bachelors,Female,Not-in-family,Never-married,<=50K
41.0,Bachelors,Female,Wife,Married-civ-spouse,>50K
27.0,12th,Female,Not-in-family,Never-married,<=50K
33.0,5th-6th,Male,Husband,Married-civ-spouse,<=50K
21.0,HS-grad,Female,Own-child,Never-married,<=50K
35.0,Some-college,Male,Husband,Married-civ-spouse,>50K
34.0,HS-grad,Male,Not-in-family,Never-married,<=50K
43.0,HS-grad,Female,Unmarried,Divorced,<=50K
52.0,Some-college,Male,Husband,Married-civ-spouse,>50K
40.0,10th,Male,Husband,Married-civ-spouse,<=50K
41.0,Assoc-acdm,Male,Husband,Married-civ-spouse,>50K
63.0,Prof-school,Male,Husband,Married-civ-spouse,>50K
30.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
42.0,12th,Male,Husband,Married-civ-spouse,<=50K
34.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
24.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
24.0,Assoc-acdm,Female,Wife,Married-civ-spouse,<=50K
67.0,11th,Male,Not-in-family,Never-married,<=50K
29.0,Assoc-acdm,Male,Husband,Married-civ-spouse,<=50K
29.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
37.0,Prof-school,Female,Wife,Married-civ-spouse,>50K
23.0,10th,Male,Own-child,Never-married,<=50K
33.0,10th,Male,Husband,Married-civ-spouse,<=50K
39.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
51.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
37.0,Assoc-voc,Male,Husband,Married-civ-spouse,<=50K
29.0,Some-college,Female,Not-in-family,Never-married,<=50K
